account_id,first_name,last_name,birth_date,gender,initial_balance,client_addr,create_date,frequency,bank_id,branch_addr,SAR,alert_id,ip_address
1,Emily,Blair,12/13/1990,Female,14452.6,18,3/24/2010,Monthly,EF,18,FALSE,,118.182.155.188
2,Brandon,Yates,2/4/1965,Male,20169.54,1,2/26/2008,Monthly,UV,1,FALSE,,216.111.70.149
3,Daniel,Norton,12/1/1976,Male,6041.82,5,7/7/2012,Monthly,OP,5,FALSE,,179.31.208.211
4,Christopher,Chambers,9/22/1939,Male,2303.88,12,2/21/2011,Monthly,UV,12,FALSE,,97.50.0.35
5,Christian,Vazquez,1/25/1949,Male,14635.52,15,5/30/2012,Monthly,IJ,15,FALSE,,157.118.177.118
6,Tara,Villa,2/21/1958,Female,16914.44,51,9/27/2009,Monthly,WX,51,FALSE,,137.250.6.167
7,Robert,Golden,10/16/1955,Male,13748.93,60,11/24/2011,Monthly,WX,60,FALSE,,112.144.254.88
8,Chris,Cook,5/1/1963,Male,7266.42,57,9/21/2010,Monthly,UV,57,FALSE,,241.178.112.254
9,Joseph,West,2/20/2001,Male,3033.55,40,1/27/2008,Monthly,WX,70,FALSE,,82.165.113.93
10,Ariana,Massey,5/29/1994,Female,2037.19,54,8/28/2011,Monthly,GH,54,FALSE,,42.241.22.21
11,Dana,Nguyen,6/22/1962,Female,14032.63,76,10/10/2010,Monthly,AB,76,FALSE,,177.69.125.163
12,Melinda,Massey,8/28/1938,Female,7816.32,21,4/15/2012,Monthly,IJ,21,FALSE,,93.100.46.156
13,Steven,Shaw,10/13/1954,Male,5148.62,76,8/17/2012,Monthly,AB,76,FALSE,,208.53.116.224
14,David,Jones,12/28/1962,Male,17165.19,47,11/27/2011,Monthly,GH,47,FALSE,,15.123.218.126
15,John,Ellis,1/4/1999,Male,16700.11,46,10/2/2008,Monthly,OP,70,FALSE,,76.215.139.190
16,Karen,Acosta,10/29/1972,Female,2849.64,12,9/23/2012,Monthly,WX,12,FALSE,,103.112.57.63
17,Melissa,Moore,10/11/1989,Female,16965.26,1,1/8/2012,Monthly,ST,1,FALSE,,127.47.148.253
18,Melissa,White,7/29/1959,Female,18115.51,43,5/26/2008,Weekly,WX,43,FALSE,,192.40.118.17
19,Ariana,Kerr,4/23/1959,Female,10768.65,21,4/7/2010,Monthly,CD,21,FALSE,,183.44.200.200
20,Loretta,Garcia,4/20/1989,Female,17967.42,74,8/24/2011,Monthly,ST,74,FALSE,,95.67.233.54
21,Lindsey,Moore,3/26/1986,Female,1466.59,54,12/6/2012,Monthly,ST,54,FALSE,,111.195.73.130
22,Thomas,Brennan,9/29/1965,Male,15767.62,1,3/23/2009,Monthly,UV,1,FALSE,,45.62.242.206
23,Melissa,Fisher,9/11/1971,Female,19532.6,30,5/22/2008,Monthly,UV,30,FALSE,,119.0.236.108
24,April,Hopkins,10/9/1977,Female,9588.97,74,12/5/2011,Monthly,EF,74,FALSE,,240.117.52.224
25,Donald,Grant,2/9/1982,Male,7535.24,68,7/28/2011,Monthly,OP,68,FALSE,,155.22.166.47
26,Brian,Irwin,7/28/2000,Male,12274.61,52,8/8/2008,Monthly,EF,52,FALSE,,6.193.104.171
27,Erin,Watkins,12/4/1968,Female,15089.83,73,9/26/2008,Monthly,WX,73,TRUE,1,58.61.189.181
28,Angel,Fisher,7/17/1998,Female,8840.26,7,11/24/2009,Monthly,IJ,7,FALSE,,19.193.32.242
29,Karen,Neal,7/23/1993,Female,14544.39,36,3/4/2010,Monthly,ST,36,FALSE,,225.84.19.39
30,Michael,Gonzalez,1/25/1988,Male,15211.42,68,4/27/2009,Monthly,WX,68,FALSE,,182.71.25.149
31,Ebony,Lester,1/22/1977,Female,13590.3,5,8/28/2010,Monthly,GH,5,FALSE,,240.169.44.78
32,Patrick,Strong,8/27/1988,Male,3984.47,22,8/26/2008,Monthly,CD,22,FALSE,,18.126.0.237
33,Joel,Hardy,8/17/1955,Male,9839.68,68,9/17/2008,Weekly,WX,67,FALSE,,165.186.183.13
34,Carl,Pitts,10/28/1940,Male,8738.47,75,7/7/2008,Monthly,UV,75,FALSE,,127.203.138.142
35,Renee,Price,1/11/1997,Female,1958.9,38,7/1/2008,Monthly,GH,1,FALSE,,8.237.110.197
36,Michael,Hall,8/26/1972,Male,20775.45,20,8/18/2012,Monthly,AB,20,FALSE,,251.70.161.0
37,Tara,Villa,1/30/1960,Female,7522.8,19,8/8/2012,Weekly,ST,19,FALSE,,96.233.245.150
38,Hayden,Garza,7/14/1954,Male,3682.24,76,9/22/2008,Monthly,KL,36,FALSE,,210.175.186.170
39,David,Smith,2/9/1960,Male,5648.91,16,10/25/2008,Monthly,GH,64,FALSE,,171.134.170.148
40,Cheryl,Franklin,5/11/1979,Female,12930.21,72,8/2/2012,Monthly,CD,72,FALSE,,179.71.89.156
41,Annette,Quinn,7/30/1998,Female,10415.32,39,8/16/2011,Monthly,OP,39,FALSE,,24.173.11.163
42,Rachel,Cruz,12/2/1999,Female,12152.79,36,6/12/2009,Monthly,UV,36,FALSE,,11.189.34.238
43,Joseph,Fitzgerald,12/12/1944,Male,20906.68,32,5/10/2008,Monthly,AB,32,FALSE,,215.210.5.140
44,Marc,Ellis,5/5/1997,Male,9689.52,64,9/2/2012,Monthly,QR,64,FALSE,,235.104.191.236
45,Stephanie,Pierce,9/18/1968,Female,20215.07,45,8/8/2008,Monthly,OP,45,FALSE,,228.239.237.68
46,William,Ballard,3/31/1980,Male,12668.55,21,11/17/2011,Monthly,GH,21,FALSE,,135.24.148.158
47,Kendra,Pugh,4/29/1947,Female,17384.86,1,4/6/2012,Monthly,CD,1,FALSE,,184.82.221.180
48,Benjamin,Boyle,2/18/1977,Male,6448.83,1,5/6/2009,Monthly,AB,1,FALSE,,186.131.111.91
49,Tracy,Medina,2/19/2000,Male,7496.47,67,5/11/2011,Monthly,EF,67,FALSE,,219.101.179.138
50,Julie,Gallegos,8/6/1968,Female,6779.97,16,1/29/2012,Monthly,AB,16,FALSE,,246.139.217.143
51,Brian,Lopez,12/8/1952,Male,6652.87,77,6/7/2010,Monthly,EF,77,FALSE,,98.64.165.13
52,William,Hubbard,6/4/1979,Male,15336.86,4,5/2/2010,Monthly,UV,4,FALSE,,92.63.228.23
53,Bobby,Thompson,4/22/1946,Male,3500.4,20,2/19/2011,Monthly,EF,20,FALSE,,230.86.249.120
54,Carolyn,Allen,5/27/1963,Female,4884.47,50,5/16/2009,Monthly,ST,50,FALSE,,44.31.186.49
55,Leslie,Ferrell,11/10/1971,Female,16482.05,1,5/21/2010,Monthly,OP,1,FALSE,,60.69.180.109
56,Dawn,Tucker,11/11/1952,Female,13603.83,29,8/23/2011,Monthly,IJ,29,FALSE,,113.95.243.213
57,Thomas,Taylor,12/14/1966,Male,12137.27,43,3/27/2009,Monthly,ST,43,FALSE,,76.13.52.82
58,Clayton,Martinez,12/22/1945,Male,2845.27,70,12/11/2008,Monthly,IJ,70,FALSE,,95.159.78.64
59,Jesse,Baker,1/13/1943,Male,7048.41,47,3/28/2008,Monthly,EF,47,FALSE,,48.243.9.41
60,Brendan,Serrano,2/20/1944,Male,2146.14,22,11/16/2011,Monthly,KL,22,FALSE,,61.103.214.135
61,Stacey,Cunningham,9/19/1997,Female,13325.57,64,3/11/2012,Monthly,UV,64,FALSE,,222.220.174.139
62,Karen,Knight,10/1/1987,Female,19754.58,36,10/29/2011,Monthly,WX,36,FALSE,,41.16.154.122
63,Beverly,Osborne,2/18/1976,Female,5285.78,1,12/3/2008,Transaction,IJ,48,FALSE,,140.193.255.16
64,Ashley,Reyes,6/13/1964,Female,3028.49,16,10/19/2009,Monthly,KL,16,FALSE,,110.236.58.137
65,Jennifer,Baker,3/10/1989,Female,2649.95,37,12/20/2009,Transaction,AB,37,FALSE,,214.7.171.63
66,Kathy,Wilkins,2/25/1999,Female,13056.43,64,1/12/2011,Monthly,WX,64,FALSE,,231.57.132.33
67,Richard,Nunez,4/29/1996,Male,2029.44,8,2/18/2010,Monthly,YZ,8,FALSE,,141.48.77.88
68,Catherine,Leblanc,12/25/1998,Female,16164.08,1,3/5/2009,Monthly,GH,1,FALSE,,69.38.216.194
69,Larry,Chan,8/27/1981,Male,7808.17,1,6/20/2011,Weekly,GH,1,FALSE,,252.90.149.82
70,Brittney,Mayer,11/17/1966,Female,1014.78,72,11/8/2008,Monthly,GH,72,TRUE,2,124.178.65.133
71,Katie,Morgan,5/5/1971,Female,20653.35,1,8/13/2010,Monthly,CD,1,FALSE,,164.123.148.59
72,Daniel,Anderson,8/17/1995,Male,3017.83,52,5/16/2011,Monthly,OP,52,FALSE,,226.142.108.88
73,Michael,Lang,8/7/1960,Male,1481.37,63,11/19/2011,Monthly,ST,63,FALSE,,241.125.191.127
74,Hailey,Brooks,6/12/1986,Female,17834.93,74,7/7/2008,Monthly,QR,74,FALSE,,183.141.168.74
75,William,Hernandez,2/16/1945,Male,17414.97,3,11/29/2011,Monthly,KL,3,FALSE,,70.145.96.69
76,Aaron,Perez,9/9/1967,Male,18379.06,43,9/27/2010,Monthly,YZ,43,FALSE,,131.11.170.114
77,Austin,Thompson,2/29/1992,Male,4568.25,74,7/18/2011,Monthly,CD,74,FALSE,,180.173.110.51
78,Charles,Barton,11/28/1985,Male,7336.77,26,5/3/2009,Monthly,CD,26,FALSE,,182.174.107.170
79,Kelly,Callahan,5/4/1993,Female,3011.73,33,4/16/2008,Monthly,IJ,26,FALSE,,169.182.59.254
